FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	StimuliName
129	33643	120	859	198	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
130	33942	100	969	662	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
131	34042	180	950	816	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
132	34221	140	319	203	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
133	34660	199	303	341	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
134	34859	179	427	346	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
135	35039	339	818	264	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
136	35378	180	847	471	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
137	35557	399	343	493	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
138	35956	299	436	490	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
139	36255	199	326	860	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
140	36454	219	267	876	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
141	36674	180	657	820	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
142	36853	219	771	793	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
143	37072	199	978	788	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
144	37272	419	822	138	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
145	37691	239	837	104	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
146	37930	239	744	867	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
147	38169	199	777	761	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
148	38368	379	845	153	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
149	38747	239	843	551	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
150	38986	279	937	797	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
151	39266	219	456	805	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
152	39485	139	492	770	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
153	39624	279	289	780	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
154	39904	299	398	458	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
155	40203	200	-724	899	ScreenRec
156	40402	219	386	359	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
157	40621	219	427	468	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
158	40841	339	411	526	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
159	41180	319	453	529	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
160	41499	219	422	469	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
161	41718	798	404	537	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
162	42515	1057	416	476	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
163	43572	917	457	475	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
164	44489	419	392	472	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
165	44908	179	324	454	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
166	45087	339	809	279	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
167	45426	299	882	214	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
168	45725	180	434	280	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
169	45905	279	824	166	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
170	46184	299	923	41	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
171	46483	299	836	275	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
172	46782	199	871	798	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
173	46981	120	936	768	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
174	47101	259	723	754	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
175	47360	259	803	332	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
176	47619	140	834	192	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
177	47759	259	492	734	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
178	48018	718	256	768	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
179	48736	299	273	860	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
180	49035	259	365	454	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
181	49294	180	280	527	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
182	49473	219	292	329	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
183	49693	120	426	310	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
184	49812	279	438	15	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
185	50091	239	806	53	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
186	50331	339	514	72	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
187	50670	239	387	37	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
188	50909	259	602	59	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
189	51168	2851	710	59	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
190	54019	419	573	469	ScreenRec
191	54438	239	639	252	ScreenRec
192	54677	439	798	716	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
193	55335	120	470	145	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
194	55455	120	537	189	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
195	55694	160	522	226	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
196	55854	219	416	279	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
197	56073	159	597	268	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
198	56232	199	536	275	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
199	56431	279	648	271	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
200	56711	259	550	190	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
201	56970	279	466	292	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
202	57249	219	556	176	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
203	57468	199	900	707	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
204	57668	359	889	782	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/uk.yahoo.com/
